Latitude,Longitude,Depth,Magnitude,Quality,Location
64.062,-19.532,7.0 km,0.8,41.24,10.2 km NE of Hekla
66.248,-16.54,3.4 km,0.9,99,7.2 km SSW of Kópasker
66.245,-16.542,2.9 km,1.3,67.31,7.5 km SSW of Kópasker
66.248,-16.548,3.8 km,1.5,99,7.4 km SW of Kópasker
66.259,-16.576,2.2 km,1.1,73.04,7.3 km SW of Kópasker
66.27,-16.536,1.9 km,1.1,82.79,5.2 km SW of Kópasker
66.629,-17.878,12.5 km,1.8,99,11.4 km NNE of Grímsey
66.275,-16.52,2.7 km,1.1,99,4.2 km SW of Kópasker
66.238,-16.559,4.8 km,1,46.47,8.5 km SW of Kópasker
66.27,-16.543,1.2 km,1.1,31.08,5.4 km SW of Kópasker
66.263,-16.558,0.6 km,1.2,63.13,6.4 km SW of Kópasker
66.247,-16.546,2.6 km,1,48.79,7.4 km SW of Kópasker
66.237,-16.55,2.3 km,1.6,99,8.4 km SSW of Kópasker
66.245,-16.557,1.3 km,2.1,99,7.9 km SW of Kópasker
66.246,-16.54,4.8 km,1.2,38.66,7.3 km SSW of Kópasker
66.242,-16.554,2.0 km,2,99,8.0 km SW of Kópasker
66.239,-16.553,1.5 km,1.2,58.48,8.3 km SSW of Kópasker
66.245,-16.546,3.9 km,2,99,7.6 km SSW of Kópasker
66.236,-16.56,2.5 km,1.2,73.61,8.8 km SSW of Kópasker
66.257,-16.53,7.4 km,1.2,72.43,6.1 km SW of Kópasker
66.253,-16.53,8.3 km,1.2,53.22,6.4 km SSW of Kópasker
66.267,-16.487,13.6 km,1.2,59.62,4.2 km SSW of Kópasker
66.279,-16.55,1.7 km,1.6,99,5.1 km WSW of Kópasker
66.266,-16.532,3.0 km,1,52.46,5.3 km SW of Kópasker
66.234,-16.565,3.4 km,2.4,99,9.0 km SW of Kópasker
63.947,-21.343,5.5 km,0.8,63.36,2.7 km ENE of Raufarhólshellir
66.278,-16.556,1.5 km,1.9,99,5.3 km WSW of Kópasker
66.271,-16.54,5.2 km,1,34.42,5.2 km SW of Kópasker
66.266,-16.536,2.7 km,1.1,80.32,5.5 km SW of Kópasker
66.243,-16.549,3.1 km,1.1,72.36,7.8 km SSW of Kópasker
66.263,-16.531,0.1 km,1.5,87.05,5.6 km SW of Kópasker
66.27,-16.551,1.9 km,1.4,99,5.6 km SW of Kópasker
66.279,-16.557,1.6 km,2.4,99,5.4 km WSW of Kópasker
66.279,-16.555,1.5 km,2.1,99,5.2 km WSW of Kópasker
66.281,-16.525,4.9 km,1.1,56.34,4.0 km SW of Kópasker
